=== 各分类成交价分布 ===
分类,商品数,会话次数,成交,失败,真实,平均成交价,成交率
书籍文具,9,45,12,33,1,29.5,27%
娱乐休闲,6,34,8,26,2,104.6,24%
数码,8,44,13,31,5,109.4,30%
服饰个护,6,27,11,16,0,56.0,41%
生活家居,6,25,10,15,2,49.5,40%
运动出行,6,30,10,20,1,94.4,33%

=== PriceLearner 学习效果 ===
分类,商品,标价,底价,初次估值(仅先验),最终估值,置信度,数据笔数
书籍文具,全新小说《三体》,30.0,21.0,26,26.0,0.41,4
娱乐休闲,木吉他入门,300.0,210.0,255,248.0,0.55,3
数码,手机支架,20.0,14.0,17,19.0,0.33,3
服饰个护,防晒霜,35.0,25.0,30,30.0,0.36,3
生活家居,收纳箱三层,35.0,25.0,30,30.0,0.56,3
运动出行,护膝,35.0,25.0,30,30.0,0.52,2

=== 冷启动置信度对比 ===
场景,估值,置信度,提升
纯先验（无数据）,70.0,0.23,-
借用书籍文具类,46.0,0.75,+226%
借用数码类,94.0,0.85,+270%
借用生活家居类,58.0,0.71,+209%
借用服饰个护类,62.0,0.67,+191%
借用运动出行类,85.0,0.67,+191%
借用娱乐休闲类,91.0,0.63,+174%
